barcode,foodcode,usdadescmain,hei_score
011110417008,11112110.0,"Milk, cow's, fluid, 2% fat",0.01
011110897329,75102000.0,"Beans, lima, raw",0.15
M-4229,63107010.0,"Banana, raw",0.08
M-4246,63223020.0,"Strawberries, raw",0.17
M-4159,75117020.0,"Onions, mature, raw",0.05
072799830717,91705300.0,"Chocolate, sweet or dark",0.2
041322321459,55301050.0,"French toast sticks, plain",0.02
022422700054,54401080.0,"Salty snacks, corn or cornmeal base, tortilla chips",0.03
016000143517,41435000.0,Fiber One Fulfill Bar,0.08
041387112122,92305000.0,"Tea, made from powdered instant, presweetened, NS as to sweetener",0.01
014800646085,92530610.0,"Fruit juice drink, with high vitamin C",0.01
028000001179,11830160.0,"Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted",0.02
681131898027,75503040.0,"Cucumber pickles, sweet",0.01
071430008102,75114000.0,"Mixed salad greens, raw",0.04
033604535272,31101010.0,"Egg, whole, raw",0.02
781138201063,92512110.0,"Margarita mix, nonalcoholic",0.02
078742083193,51108010.0,"Focaccia, Italian flatbread, plain",0.07
M-4098,63101000.0,"Apple, raw",0.25
078742002767,20099.0,"Macaroni, dry, enriched",0.01
051933109704,91102010.0,"Sugar, brown",0.02
051933258730,82104000.0,Olive oil,0.09
051933182509,31101010.0,"Egg, whole, raw",0.05
028749143901,10949.0,"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw",0.08
077438333031,31101010.0,"Egg, whole, raw",0.07
078742373706,5100.0,"Chicken, broilers or fryers, wing, meat and skin, raw",0.03
078000113167,92410550.0,"Soft drink, fruit flavored, caffeine containing",0.01
078742143347,11432000.0,"Yogurt, fruit variety, lowfat milk",0.06
078742143323,11432000.0,"Yogurt, fruit variety, lowfat milk",0.06
021000658930,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.08
041500805023,75511010.0,Hot pepper sauce,0.13
016000483644,57125000.0,Cinnamon Toast Crunch,0.09
012000012709,92301060.0,"Tea, NS as to type, presweetened with sugar",0.01
012000616204,92307500.0,"Half and Half beverage, half iced tea and half fruit juice drink (lemonade)",0.01
082657504063,94100100.0,"Water, bottled, unsweetened",0.0
077013387244,24198700.0,"Chicken patty, fillet, or tenders, breaded, cooked",0.03
028749131939,23612.0,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",0.04
012000000171,92410310.0,"Soft drink, cola-type",0.0
M-4679,75122000.0,"Pepper, raw, NFS",0.17
M-4248,63223020.0,"Strawberries, raw",0.13
M-3061,74101000.0,"Tomatoes, raw",0.11
M-3097,72116000.0,"Endive, chicory, escarole, or romaine lettuce, raw",0.19
M-4060,72201100.0,"Broccoli, raw",0.04
688267067365,42114130.0,Pistachio nuts,0.11
M-4665,75117020.0,"Onions, mature, raw",0.03
021000625048,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
021000638741,14104020.0,"Cheese, Cheddar or American type, dry, grated",0.19
M-4645,75115000.0,"Mushrooms, raw",0.24
021000633821,14107010.0,"Cheese, Mozzarella, NFS",0.17
021000024599,14104250.0,"Cheese, Colby Jack",0.22
076991000503,42116000.0,Walnuts,0.14
016972001143,52215200.0,"Tortilla, flour (wheat)",0.06
024300043208,53209010.0,"Cookie, sugar wafer, chocolate-covered",0.03
070442400904,75506010.0,Mustard,0.11
039400019725,41201010.0,"Baked beans, NFS",0.05
073410135464,51220000.0,"Roll, whole wheat, 100%",0.33
036800190504,6957.0,"Gravy, brown instant, dry",0.25
043000201459,91510100.0,"Gelatin powder, dietetic, sweetened with low calorie sweetener, dry",1.67
012000014307,92410320.0,"Soft drink, cola-type, sugar-free",0.01
070041320269,15149.0,"Crustaceans, shrimp, mixed species, raw",0.04
012900007003,53391000.0,Pie shell,0.22
052600112164,91304040.0,"Topping, marshmallow",0.07
011225045905,14301010.0,"Cheese, cream",0.17
036800883147,51150000.0,"Roll, white, soft",0.08
041498110109,27520350.0,"Ham and cheese sandwich, with spread, grilled",0.11
M-5008,63311000.0,"Fruit salad, fresh or raw, (excluding citrus fruits), no dressing",0.16
011110859471,25230110.0,"Luncheon meat, NFS",0.1
011110851482,22959.0,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",0.08
883990250002,64100110.0,"Fruit juice blend, 100% juice",0.19
011110906533,27510360.0,"Bacon cheeseburger, with mayonnaise or salad dressing, tomato and/or catsup, on bun",0.2
049000045758,92560200.0,Powerade sports drink,0.03
011110906526,27510210.0,"Cheeseburger, plain, on bun",0.23
011110462770,12310370.0,"Sour cream, fat free",0.17
021000612161,14420200.0,"Cheese spread, cream cheese, regular",0.15
049000045239,92560200.0,Powerade sports drink,0.03
072878275330,74402350.0,"Salsa verde or salsa, green",0.19
049000045741,92560200.0,Powerade sports drink,0.03
049000054569,92565200.0,"Powerade Zero sports drink, low calorie",0.03
